Locus	Annotation (TAIR10)	Mapman Category	GO term biological process	Mean Day 0 MD	Mean Day 0 MN	Mean Day 4 MD	Mean Day 4 MN	Mean Day 9 MD	Mean Day 9 MN	Mean Day 12 MD	Mean Day 12 MN	Mean Day 2rek MD	Mean Day 2rek MN
AT2G01250	Ribosomal protein L30/L7 family protein	protein.synthesis	translation	282.67	255.33	317.67	304.67	223	370.33	203.67	368.67	200.67	295
AT2G47610	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	protein.synthesis	RNA methylation; translation; ribosome biogenesis	548.67	446.33	524.33	528	360.67	622	366.33	715.67	406.33	553.67
AT2G18020	Ribosomal protein L2 family	protein.synthesis	translation; embryo development ending in seed dormancy	305	260.33	345.67	340.33	264.33	356.67	286.33	415.67	260.67	306.33
AT1G33120	Ribosomal protein L6 family	protein.synthesis	translation	553.33	435.33	562.67	482	407	533.67	416	513.67	422.67	482.67
AT2G40010	Ribosomal protein L10 family protein	protein.synthesis	translational elongation; translation; ribosome biogenesis; RNA methylation	177	149.33	174.33	143.33	179.67	206.67	240	224.33	132	184.67
AT3G11250	Ribosomal protein L10 family protein	protein.synthesis	translational elongation; translation; response to salt stress; ribosome biogenesis	164.33	134	182.33	160.67	183.33	186.33	224.67	203	126.33	177.33
AT5G24510	60S acidic ribosomal protein family	protein.synthesis	translational elongation	202	145.33	197.33	165	134.33	161.67	125.33	160.33	139	156.33
AT3G44590	60S acidic ribosomal protein family	protein.synthesis	translational elongation; RNA methylation	190	183	177	182.33	166.33	262	156.67	205.67	138.33	211.67
AT3G13120	Ribosomal protein S10p/S20e family protein	protein.synthesis	translation; photosynthesis; chloroplast relocation; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; chlorophyll biosynthetic process; thylakoid membrane organization; rRNA processing; ncRNA metabolic process	192	315.33	180.67	434.33	266	472.67	229	402.67	132.33	316.33
AT5G14320	Ribosomal protein S13/S18 family	protein.synthesis	photosynthetic electron transport in photosystem I; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; translation; DNA-dependent transcription. elongation; photosynthesis. light reaction; regulation of protein dephosphorylation; ribosome biogenesis	276	560.67	265.67	705.33	351	507.33	302.33	379.67	221	441.67
AT3G15190	chloroplast 30S ribosomal protein S20. putative	protein.synthesis	translation; ribosome biogenesis; chlorophyll biosynthetic process; rRNA processing	175	255.33	168.67	326.33	256.33	345.33	270	255.67	143.67	237.33
AT5G24490	30S ribosomal protein. putative	protein.synthesis	primary metabolic process; translation	319.67	93.67	298.33	158.33	749.67	218.33	882.33	143.33	273.33	73.33
AT2G38140	plastid-specific ribosomal protein 4	protein.synthesis	plastid translation; translation	117.67	192	102	228.67	138.33	294	133.67	260	86	198.67
AT2G33800	Ribosomal protein S5 family protein	protein.synthesis	response to cadmium ion; response to cold; protein targeting to chloroplast; translation; defense response to bacterium	290	439	299.67	676.33	353.67	558	278	441.33	199.33	445
AT1G64510	Translation elongation  factor EF1B/ribosomal protein S6 family protein	protein.synthesis	translation; ribosome biogenesis; thylakoid membrane organization	228	226.33	206	288.67	216	314.33	191.67	239.33	144	212.67
AT1G74970	ribosomal protein S9	protein.synthesis	translation	343.67	437.33	296	531	325	559.67	375	519.67	263	456
AT3G63490	Ribosomal protein L1p/L10e family	protein.synthesis	pentose-phosphate shunt; translation; thylakoid membrane organization; transcription from plastid promoter; ncRNA metabolic process; iron-sulfur cluster assembly; aromatic amino acid family biosynthetic process; protein targeting to chloroplast; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; DNA-dependent transcription. elongation; chloroplast relocation; photosynthesis	416.33	700.67	355.33	702.67	435.33	884.33	438.67	750.67	307	604.33
AT1G32990	plastid ribosomal protein l11	protein.synthesis	isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; translation; thylakoid membrane organization; chlorophyll biosynthetic process; ribosome biogenesis; rRNA processing	135.67	202.33	118	264.67	181	340	166.67	259.67	91.33	203.67
AT3G27830	ribosomal protein L12-A	protein.synthesis	translation	450.67	567	417	773	497.67	715.33	442	555.67	289.33	628.67
AT1G78630	Ribosomal protein L13 family protein	protein.synthesis	response to cytokinin stimulus; translation; protein targeting to chloroplast; embryo development ending in seed dormancy	279.33	471.67	241.33	501	231.67	558	225.67	501.33	200.33	452.33
AT3G25920	ribosomal protein L15	protein.synthesis	DNA-dependent transcription. elongation; translation; response to cytokinin stimulus	349.67	489.33	315	657.67	286	633.67	199.67	432.33	195.33	394.33
AT3G54210	Ribosomal protein L17 family protein	protein.synthesis	isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; translation	171.67	243	153.67	311.67	216	412.33	183.33	314.33	98.67	256
AT1G48350	Ribosomal L18p/L5e family protein	protein.synthesis	regulation of cell size; anther development; pattern specification process; growth; regulation of meristem growth; auxin polar transport; ribosome biogenesis; translation; root morphogenesis; plant-type cell wall organization; plant-type cell wall biogenesis	137.67	192	113	276	165	313.33	137	237.33	70.67	185.33
AT4G17560	Ribosomal protein L19 family protein	protein.synthesis	translation; production of ta-siRNAs involved in RNA interference; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; production of miRNAs involved in gene silencing by miRNA; defense response to virus; ribosome biogenesis	121	211.33	119	279.33	177	325	145	229	87.33	209.67
AT1G35680	Ribosomal protein L21	protein.synthesis	chloroplast relocation; embryo development; rRNA processing; positive regulation of transcription. DNA-dependent; defense response to bacterium; response to cold; translation; photosystem II assembly; transcription from plastid promoter; chloroplast organization; embryo development ending in seed dormancy; thylakoid membrane organization; regulation of protein dephosphorylation	112.33	178	105.33	267.33	145.33	292.33	123.33	223	66	178.67
AT5G54600	Translation protein SH3-like family protein	protein.synthesis	translation; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; plastid translation	488.67	690.33	427	793.33	571.33	744.33	585	561.33	390	542
AT5G40950	ribosomal protein large subunit 27	protein.synthesis	translation; response to cytokinin stimulus	354.67	481.67	308.33	504.67	458	536	553	507.67	255.33	439
AT5G65220	Ribosomal L29 family protein	protein.synthesis	translation; DNA-dependent transcription. elongation; positive regulation of transcription. DNA-dependent; transcription from plastid promoter; ribosome biogenesis	249	314.67	235.67	411.67	350	480.67	314	366.33	171	272.33
AT2G43030	Ribosomal protein L3 family protein	protein.synthesis	rRNA processing; translation; chlorophyll biosynthetic process; protein targeting to chloroplast; photosystem II assembly; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway	389.33	638.67	341.33	718.33	433.67	746.67	322	543.67	268.33	502.33
AT1G75350	Ribosomal protein L31	protein.synthesis	photosynthesis; pentose-phosphate shunt; chloroplast relocation; thylakoid membrane organization; translation; chlorophyll biosynthetic process; rRNA processing; photosynthetic electron transport in photosystem I; photosystem II assembly; embryo development ending in seed dormancy; ncRNA metabolic process; plastid organization; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; ribosome biogenesis	228	210.33	171.33	259.67	170	256	179	224.67	141.33	193.67
AT1G29070	Ribosomal protein L34	protein.synthesis	translation; ribosome biogenesis	163	235.67	128	309.33	157	337.67	146.67	298.67	82	195.67
AT4G01310	Ribosomal L5P family protein	protein.synthesis	translation; cysteine biosynthetic process; response to cytokinin stimulus; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway	296.33	359.67	226.67	462.33	331.33	550.33	324.67	452.33	174.33	307
AT1G05190	Ribosomal protein L6 family	protein.synthesis	DNA-dependent transcription. elongation; rRNA processing; photosystem II assembly; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; translation; response to cytokinin stimulus; pentose-phosphate shunt; plastid organization; embryo development ending in seed dormancy	357.67	462.33	326	599.67	433	667	382	453.33	210.33	426.33
AT3G44890	ribosomal protein L9	protein.synthesis	translation; ribosome biogenesis; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway	193.33	406.33	175.67	450.67	282.67	630	241	477.33	128.67	480.33
AT5G30510	ribosomal protein S1	protein.synthesis	ncRNA metabolic process; chlorophyll biosynthetic process; photosynthetic electron transport in photosystem I; chloroplast relocation; rRNA processing; thylakoid membrane organization; pentose-phosphate shunt; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; response to cytokinin stimulus	587	851.67	549.67	892	726.33	1056	719.33	710.33	474.67	703
AT3G27160	Ribosomal protein S21 family protein	protein.synthesis	translation; ribosome biogenesis	240	257.33	220.67	331	233.33	355.33	209	267.67	146	271.67
AT1G08360	Ribosomal protein L1p/L10e family	protein.synthesis	translation	247	241	259	291	218	361.67	215	372.33	194.33	298.67
AT2G24090	Ribosomal protein L35	protein.synthesis	translation; pentose-phosphate shunt	331	332	256.33	359.67	350.67	500.67	376	381.67	226	282
AT1G68660	Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein	protein.synthesis	protein catabolic process	204.33	95	210.33	92.67	329.33	70	274	50.67	264.33	109
AT5G13720	Uncharacterised protein family (UPF0114)	protein.synthesis		414.67	590.33	385	492	612	259.33	575.67	150.67	645.33	323
AT2G20890	photosystem II reaction center PSB29 protein	protein.targeting	thylakoid membrane organization; chloroplast relocation; defense response to bacterium; protein import into chloroplast stroma; photosystem II assembly; regulation of translation; photosynthetic electron transport in photosystem I; transcription from plastid promoter; regulation of protein dephosphorylation; photosynthesis; positive regulation of transcription. DNA-dependent; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; sugar mediated signaling pathway; plastid organization; G-protein coupled receptor signaling pathway; protein import into chloroplast thylakoid membrane; rRNA processing; phosphatidylglycerol biosynthetic process; ncRNA metabolic process	645.67	469.67	671.67	563.33	491	583	402	509.67	451	457.33
AT1G06950	translocon at the inner envelope membrane of chloroplasts 110	protein.targeting.chloroplast	chloroplast organization; protein import into chloroplast stroma; protein targeting to chloroplast	134.67	317	174.67	329	250.33	1016.33	288.33	948.67	160	606
AT4G01800	Albino or Glassy Yellow 1	protein.targeting.chloroplast	intracellular protein transport; protein targeting; thylakoid membrane organization; protein import; trichome morphogenesis; regulation of photosynthesis; chloroplast organization; response to absence of light	211.33	407	235	480.67	313.67	436.33	329	435.67	222	421
AT2G28800	63 kDa inner membrane family protein	protein.targeting.chloroplast	thylakoid membrane organization; positive regulation of transcription. DNA-dependent; protein import into chloroplast thylakoid membrane; protein insertion into membrane; ncRNA metabolic process; rRNA processing; regulation of cell aging; transcription from plastid promoter; chloroplast relocation; photosystem II assembly; regulation of protein dephosphorylation; hydrogen peroxide catabolic process	284	259	309.33	281.33	252.67	390	258.67	389.33	245	324.33
AT2G18710	SECY homolog 1	protein.targeting.chloroplast	protein secretion; thylakoid membrane organization; protein transport; DNA-dependent transcription. elongation	200.67	289.33	217.67	364.67	246	291.33	217.33	293.67	207.33	245.33
AT2G45770	signal recognition particle receptor protein. chloroplast (FTSY)	protein.targeting.chloroplast	photosynthetic electron transport in photosystem II; thylakoid membrane organization; defense response to virus; positive regulation of transcription. DNA-dependent; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; SRP-dependent cotranslational protein targeting to membrane; chloroplast relocation; regulation of protein dephosphorylation; photosystem II assembly; production of miRNAs involved in gene silencing by miRNA; production of ta-siRNAs involved in RNA interference; ncRNA metabolic process; protein targeting; rRNA processing; protein import into chloroplast thylakoid membrane; transcription from plastid promoter	100.33	336.67	96.67	345.33	208	405.33	228.67	389.67	121.33	309
AT5G03940	chloroplast signal recognition particle 54 kDa subunit	protein.targeting.chloroplast	production of miRNAs involved in gene silencing by miRNA; defense response to virus; protein import into chloroplast thylakoid membrane; SRP-dependent cotranslational protein targeting to membrane. signal sequence recognition; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; production of ta-siRNAs involved in RNA interference; SRP-dependent cotranslational protein targeting to membrane	118.33	256	118.67	245	195.67	395	210	434.67	110	306
AT4G02510	translocon at the outer envelope membrane of chloroplasts 159	protein.targeting.chloroplast	protein targeting to chloroplast	110	149	125.33	197.67	153.33	388.33	166.33	420	104	247.33
AT2G42210	Mitochondrial import inner membrane translocase subunit Tim17 im22 im23 family protein	protein.targeting.mitochondria	proteasome core complex assembly; ubiquitin-dependent protein catabolic process; protein transport; response to misfolded protein; photorespiration	157.67	288.33	143.33	231	207.33	217	192.33	171.33	174	241
AT3G02090	Insulinase (Peptidase family M16) protein	protein.targeting.mitochondria	proteolysis; ubiquitin-dependent protein catabolic process; photorespiration; response to misfolded protein; response to salt stress; pentose-phosphate shunt; proteasome core complex assembly; glucose catabolic process; response to cadmium ion	157	173	169	167.33	184.33	145.33	222.33	151.33	181	163.33
AT2G45740	peroxin 11D	protein.targeting.peroxisomes	peroxisome fission; peroxisome organization	103	302.67	125	338	161.33	318.67	137.33	352.33	134.67	283.33
AT1G23490	ADP-ribosylation factor 1	protein.targeting.secretory pathway.unspecified	N-terminal protein myristoylation; glucose catabolic process; response to cadmium ion; small GTPase mediated signal transduction	227.33	332	217	276.33	139.33	208	128	204.33	241.67	230.33
AT4G30600	signal recognition particle receptor alpha subunit family protein	protein.targeting.secretory pathway.unspecified	intracellular protein transport; cellular membrane fusion; Golgi vesicle transport; protein targeting; GTP catabolic process; protein targeting to vacuole; SRP-dependent cotranslational protein targeting to membrane; vesicle-mediated transport	121	191	142.67	171	222	195.33	192	214.67	171.33	166
AT2G25940	alpha-vacuolar processing enzyme	protein.targeting.secretory pathway.vacuole	vacuolar protein processing; proteolysis	494	704.33	87.67	91.33	55.33	1007.33	2269.67	1051.67	609.33	2186.67
AT2G14720	vacuolar sorting receptor 4	protein.targeting.secretory pathway.vacuole	protein targeting to vacuole	186.33	288.33	208.33	200.67	302.33	256.33	378.33	246.33	290.33	188
AT5G06140	sorting nexin 1	protein.targeting.secretory pathway.vacuole	protein targeting to vacuole; cellular membrane fusion; ubiquitin-dependent protein catabolic process; cell communication; endosome to lysosome transport; root development; photorespiration; intracellular signal transduction; endosomal transport; response to misfolded protein; Golgi to vacuole transport; proteasome core complex assembly; positive gravitropism; auxin homeostasis	159.33	167.33	160	157.33	268.33	187	244.33	143	169.33	159.67
AT5G38660	acclimation of photosynthesis to  environment	PS	photosystem II assembly; maltose metabolic process; cell differentiation; leaf morphogenesis; starch biosynthetic process; 	206	169.67	193.67	189.33	181.67	164	150.67	134.67	156.33	135.33
AT2G47400	CP12 domain-containing protein 1	PS.calvin cycle	negative regulation of reductive pentose-phosphate cycle; response to sucrose stimulus; glucose catabolic process	967.33	689.67	841.67	591	1341.67	692.33	1624	423.67	1023.67	487.67
AT3G62410	CP12 domain-containing protein 2	PS.calvin cycle	response to red light; response to sucrose stimulus; cellular response to cold; response to light stimulus; negative regulation of reductive pentose-phosphate cycle; peptide cross-linking via L-cystine; regulation of proton transport; cellular response to anoxia; cellular response to heat; reductive pentose-phosphate cycle; response to far red light; response to blue light; response to high light intensity	459.67	328.33	422.67	290	667	328.67	786.67	217	501.67	235
AT2G21330	fructose-bisphosphate aldolase 1	PS.calvin cycle	PSII associated light-harvesting complex II catabolic process; thylakoid membrane organization; photosynthesis. light reaction; nucleotide metabolic process; photosynthesis; vitamin metabolic process; unsaturated fatty acid biosynthetic process; regulation of protein dephosphorylation; sulfur compound biosynthetic process; response to cadmium ion; glucosinolate biosynthetic process; glucosinolate metabolic process; positive regulation of transcription. DNA-dependent; rRNA processing; lipoate metabolic process; hydrogen peroxide catabolic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; cysteine biosynthetic process; oxidoreduction coenzyme metabolic process; aromatic amino acid family biosynthetic process; chlorophyll biosynthetic process; glycine catabolic process; pentose-phosphate shunt; glycolysis; ncRNA metabolic process; photosystem II assembly; chloroplast relocation; plastid organization; jasmonic acid biosynthetic process; response to far red light; starch biosynthetic process; secondary metabolic process; sulfur amino acid metabolic process; response to red light; coenzyme biosynthetic process; cellular amino acid biosynthetic process; response to blue light; aromatic amino acid family metabolic process; cell differentiation; leaf morphogenesis	11444.67	5906.67	10223	5475.33	11956	10954	11498	11717.67	12726.67	9137
AT4G26530	Aldolase superfamily protein	PS.calvin cycle	glycolysis; maltose metabolic process; pentose-phosphate shunt; starch biosynthetic process; anthocyanin-containing compound biosynthetic process	268.67	1245	313	1357.33	1600.33	2306.33	1247.33	1899	426.33	2256
AT2G01140	Aldolase superfamily protein	PS.calvin cycle	glycolysis; pentose-phosphate shunt; response to cadmium ion; response to salt stress; glucose catabolic process; response to oxidative stress	919.67	498	796.67	524.33	858.33	709.67	755	791.67	930	593
AT3G54050	high cyclic electron flow 1	PS.calvin cycle	fructose 1.6-bisphosphate metabolic process; sucrose metabolic process; response to cold; carotenoid biosynthetic process; maltose metabolic process; pentose-phosphate shunt; regulation of protein dephosphorylation; photosynthetic electron transport in photosystem I; rRNA processing; chlorophyll biosynthetic process; response to blue light; photosynthesis. light reaction; defense response to bacterium; response to red light; thylakoid membrane organization; plastid organization; photosystem II assembly; photosynthesis; cellular cation homeostasis; ncRNA metabolic process; divalent metal ion transport; starch biosynthetic process; response to far red light; fructose metabolic process; chloroplast relocation; positive regulation of catalytic activity; response to cytokinin stimulus	1348.33	1173.33	1303.33	1398	1119.67	927.33	993	831	1211	987
AT1G12900	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	PS.calvin cycle	rRNA processing; photosynthesis; plastid organization; glucose metabolic process; oxidation-reduction process; photosystem II assembly; photosynthesis. light reaction; regulation of protein dephosphorylation; photosynthetic electron transport in photosystem I; glycolysis; stomatal complex morphogenesis	9699.33	5336.33	9958	5784	7459	5376	5791.33	4426	7509	6424
AT1G42970	glyceraldehyde-3-phosphate dehydrogenase B subunit	PS.calvin cycle	glycolysis; plastid organization; response to cold; response to blue light; response to sucrose stimulus; defense response to bacterium; glucose metabolic process; oxidation-reduction process; reductive pentose-phosphate cycle; chlorophyll biosynthetic process; chlorophyll metabolic process; pentose-phosphate shunt; photosynthetic electron transport in photosystem I; regulation of proton transport; photosystem II assembly; PSII associated light-harvesting complex II catabolic process; unsaturated fatty acid biosynthetic process; response to light stimulus; response to high light intensity; cysteine biosynthetic process; oxylipin biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; response to cadmium ion; rRNA processing; chloroplast relocation; hydrogen peroxide catabolic process; regulation of lipid metabolic process; response to glucose stimulus; response to far red light; response to red light	6796.33	2330.67	6986	2455.67	4193.33	2185.33	3084	2076.33	5439	2975.33
AT1G56190	Phosphoglycerate kinase family protein	PS.calvin cycle	maltose metabolic process; divalent metal ion transport; cysteine biosynthetic process; starch biosynthetic process; response to cadmium ion; glycolysis; cellular cation homeostasis	2504.67	1352.67	2525	1655.67	1974.67	1773	1575.33	1661.67	1861.33	1700.67
AT1G32060	phosphoribulokinase	PS.calvin cycle	regulation of protein dephosphorylation; photosystem II assembly; defense response to bacterium; regulation of multi-organism process; stomatal complex morphogenesis; chloroplast relocation; photosynthetic electron transport in photosystem I; salicylic acid biosynthetic process; pentose-phosphate shunt; response to blue light; rRNA processing; response to cold; peptidyl-cysteine S-nitrosylation; regulation of plant-type hypersensitive response; regulation of hydrogen peroxide metabolic process; response to far red light; photosynthesis. light reaction; jasmonic acid mediated signaling pathway; defense response to fungus; systemic acquired resistance. salicylic acid mediated signaling pathway; defense response. incompatible interaction; photosynthesis; response to cytokinin stimulus; cysteine biosynthetic process; detection of biotic stimulus; protein targeting to membrane; response to chitin; plastid organization; biosynthetic process; negative regulation of defense response; response to red light; MAPK cascade	2754.67	3230	2481	2916	1721.33	3245.33	1228.67	2243.33	2503.33	4021.67
AT3G04790	Ribose 5-phosphate isomerase. type A protein	PS.calvin cycle	lipoate metabolic process; systemic acquired resistance. salicylic acid mediated signaling pathway; defense response. incompatible interaction; cellular amino acid biosynthetic process; coenzyme biosynthetic process; indoleacetic acid biosynthetic process; salicylic acid biosynthetic process; defense response to bacterium; tryptophan catabolic process; photosynthesis. light reaction; negative regulation of defense response; sulfur compound biosynthetic process; unsaturated fatty acid biosynthetic process; sulfur amino acid metabolic process; aromatic amino acid family metabolic process; nucleotide metabolic process; oxidoreduction coenzyme metabolic process; jasmonic acid mediated signaling pathway; cysteine biosynthetic process; protein targeting to membrane; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; defense response to fungus; vitamin metabolic process; glycine catabolic process; reductive pentose-phosphate cycle; response to chitin; regulation of hydrogen peroxide metabolic process; regulation of plant-type hypersensitive response; response to cytokinin stimulus; jasmonic acid biosynthetic process; MAPK cascade; response to cold; detection of biotic stimulus; secondary metabolic process; regulation of multi-organism process	288.33	159.33	270.33	212.33	123.33	145	86.33	100	157.33	147.67
AT5G61410	D-ribulose-5-phosphate-3-epimerase	PS.calvin cycle	metabolic process; defense response to bacterium; carbohydrate metabolic process; response to nematode; response to cold; embryo development ending in seed dormancy	1733.33	1124	1715.67	1094.33	1361.67	1080.33	1170.67	998.33	1821.33	1265.33
AT2G39730	rubisco activase	PS.calvin cycle	regulation of hydrogen peroxide metabolic process; defense response to fungus; response to cold; response to sucrose stimulus; defense response to bacterium; response to jasmonic acid stimulus; systemic acquired resistance. salicylic acid mediated signaling pathway; regulation of proton transport; regulation of plant-type hypersensitive response; MAPK cascade; salicylic acid biosynthetic process; response to light stimulus; detection of biotic stimulus; jasmonic acid mediated signaling pathway; photosynthesis. light reaction; leaf senescence; defense response. incompatible interaction; protein targeting to membrane; response to far red light; response to red light; response to chitin; regulation of multi-organism process; negative regulation of defense response; response to high light intensity; response to blue light	14648.33	20632.33	15183.33	22042	8860.67	37964.33	6341	42121	14113.33	41293.67
AT2G28000	chaperonin-60alpha	PS.calvin cycle	protein folding; protein refolding; ovule development; chloroplast organization; cellular protein metabolic process; iron-sulfur cluster assembly; embryo development; embryo development ending in seed dormancy	972	805.33	1042.33	989.33	1130	1227.33	885.67	826.67	700.67	955.33
AT1G55490	chaperonin 60 beta	PS.calvin cycle	response to cold; carotenoid biosynthetic process; protein folding; protein refolding; systemic acquired resistance; cellular protein metabolic process; cell death; chaperone mediated protein folding requiring cofactor	740	514.33	823	630.33	813	1010.67	654.33	786	514.67	656
AT1G73110	P-loop containing nucleoside triphosphate hydrolases superfamily protein	PS.calvin cycle	carotenoid biosynthetic process; thylakoid membrane organization	387.33	385.33	370.67	336.33	333	224.67	386.33	233.33	450.67	323
AT1G67090	ribulose bisphosphate carboxylase small chain 1A	PS.calvin cycle	response to red light; response to cold; photosynthesis; chloroplast ribulose bisphosphate carboxylase complex biogenesis; response to far red light; carbon fixation; response to blue light	58762.33	44360.67	50808	56597	31747	32395.67	29249.67	31575	40041.33	35970.33
AT5G38410	Ribulose bisphosphate carboxylase (small chain) family protein	PS.calvin cycle	photosynthesis; response to far red light; carbon fixation; chloroplast ribulose bisphosphate carboxylase complex biogenesis; response to blue light; response to red light	29572	27715.33	26189.67	29818	17904	20759.67	17041.33	18566.67	22311	24102.67
AT3G55800	sedoheptulose-bisphosphatase	PS.calvin cycle	carbohydrate metabolic process; carbohydrate biosynthetic process; salicylic acid biosynthetic process; pentose-phosphate shunt; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; starch biosynthetic process; photosynthesis. light reaction; photosystem II assembly; positive regulation of catalytic activity; regulation of protein dephosphorylation; defense response to fungus; systemic acquired resistance. salicylic acid mediated signaling pathway; protein targeting to membrane; photosynthetic electron transport in photosystem I; regulation of plant-type hypersensitive response; defense response. incompatible interaction; glucosinolate biosynthetic process; maltose metabolic process; plastid organization; defense response to bacterium; regulation of multi-organism process; regulation of hydrogen peroxide metabolic process; reductive pentose-phosphate cycle; response to cold; jasmonic acid mediated signaling pathway; cysteine biosynthetic process; glucosinolate metabolic process; stomatal complex morphogenesis; response to chitin; rRNA processing; detection of biotic stimulus; negative regulation of defense response; sucrose biosynthetic process; MAPK cascade	1525	2816.67	1707	2929	3429	3652.67	3151.67	2815.67	1761	3183.33
AT2G21170	triosephosphate isomerase	PS.calvin cycle	isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; tryptophan catabolic process; calcium ion transport; glyceraldehyde-3-phosphate biosynthetic process; chloroplast organization; response to salt stress; glycine catabolic process; glycerol catabolic process; multicellular organism reproduction; Golgi organization; cysteine biosynthetic process; indoleacetic acid biosynthetic process; reductive pentose-phosphate cycle; metabolic process; triglyceride mobilization; primary root development; regulation of protein localization	538.67	242.33	562.67	396.33	764	428	657.33	414.67	406	241.33
AT2G45290	Transketolase	PS.calvin cycle	response to cadmium ion; metabolic process	1636.33	2571	1879.67	3292.33	1907.33	3542	1572.67	2846.33	1561	4088.67
AT2G31040	ATP synthase protein I -related	PS.lightreaction	maltose metabolic process; chloroplast proton-transporting ATP synthase complex assembly; starch biosynthetic process; positive regulation of catalytic activity	163	117.67	174	142.33	270.67	136.33	313.67	106.33	190.67	72
AT4G09650	ATP synthase delta-subunit gene	PS.lightreaction	photosynthetic electron transport in photosystem II; photosynthesis; systemic acquired resistance. salicylic acid mediated signaling pathway; photosynthetic electron transport in photosystem I; starch biosynthetic process; glucosinolate metabolic process; photosystem II assembly; salicylic acid biosynthetic process; thylakoid membrane organization; rRNA processing; chlorophyll biosynthetic process; response to cold; protein targeting to membrane; photosynthesis. light reaction; defense response to bacterium; regulation of multi-organism process; regulation of plant-type hypersensitive response; defense response. incompatible interaction; pentose-phosphate shunt; jasmonic acid mediated signaling pathway; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; regulation of hydrogen peroxide metabolic process; defense response to fungus; response to cytokinin stimulus; MAPK cascade; response to chitin; detection of biotic stimulus; negative regulation of defense response	580	362.33	663.67	509	420.67	306.33	251.67	251.67	499.67	320
AT4G04640	ATPase. F1 complex. gamma subunit protein	PS.lightreaction	ATP biosynthetic process; lipoate metabolic process; maltose metabolic process; cellular amino acid biosynthetic process; nucleotide metabolic process; oxidoreduction coenzyme metabolic process; cysteine biosynthetic process; photosynthesis. light reaction; photosystem II assembly; regulation of protein dephosphorylation; ATP synthesis coupled proton transport; jasmonic acid biosynthetic process; sulfur amino acid metabolic process; glycine catabolic process; chlorophyll biosynthetic process; aromatic amino acid family metabolic process; positive regulation of transcription. DNA-dependent; secondary metabolic process; positive regulation of catalytic activity; photosynthetic electron transport in photosystem II; unsaturated fatty acid biosynthetic process; plastid organization; coenzyme biosynthetic process; rRNA processing; photosynthetic electron transport in photosystem I; starch biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; vitamin metabolic process; leaf morphogenesis; sulfur compound biosynthetic process; cell differentiation	1637	1384.67	1697.67	1602.67	1365	1053.67	1428.67	1021.67	1697.67	1310.33
AT1G15700	ATPase. F1 complex. gamma subunit protein	PS.lightreaction	ATP synthesis coupled proton transport; regulation of root morphogenesis	318.67	240.67	379.67	366.67	295.67	185.67	226.67	159.67	315.33	201.33
AT4G32260	ATPase. F0 complex. subunit B/B'. bacterial/chloroplast	PS.lightreaction	defense response to bacterium; protein targeting to membrane; pentose-phosphate shunt; rRNA processing; response to cytokinin stimulus; regulation of plant-type hypersensitive response; regulation of multi-organism process; defense response. incompatible interaction; MAPK cascade; regulation of protein dephosphorylation; photorespiration; photosynthesis. light reaction; systemic acquired resistance. salicylic acid mediated signaling pathway; photosystem II assembly; response to chitin; regulation of hydrogen peroxide metabolic process; glucosinolate biosynthetic process; jasmonic acid mediated signaling pathway; plastid organization; defense response to fungus; detection of biotic stimulus; positive regulation of catalytic activity; salicylic acid biosynthetic process; negative regulation of defense response; response to cold	1032.33	797	1024	1019	788.67	507.67	772.33	433.33	1068	666.67
AT4G22260	Alternative oxidase family protein	PS.lightreaction	response to temperature stimulus; chloroplast organization; respiratory gaseous exchange; plastid organization; oxidation-reduction process; carotenoid biosynthetic process; negative regulation of transcription. DNA-dependent; response to high light intensity	442.67	155.67	634.33	126.33	3277.33	571.67	2905.33	302.67	709.33	91.67
